org_id,name,org_type,org_type_code,source_dataset,source_url
XI-GRID-grid.13001.33,University Of Zimbabwe College Of Health Sciences Clinical Trials Centre,"Academic, Training and Research",80,1-uz-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/1-uz-org.xml
BE-BCE_KBO-0421210424,KOEPEL VAN DE VLAAMSE NOORD-ZUIDBEWEGING 11.11.11 VZW,National NGO,22,111111_publisher-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/111111_publisher-org.xml
BE-BCE_KBO-0423588904,Autre Terre asbl,National NGO,22,a-t-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/a-t-org.xml
BD-NAB-0210,ActionAid Bangladesh,International NGO,21,aab-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aab-org.xml
DK-CVR-18243717,ActionAid Denmark (Mellemfolkeligt Samvirke),International NGO,21,aadk-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-org.xml
GH-DSW-3064,ActionAid Ghana,National NGO,22,aag-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aag-org.xml
KE-NCB-OP/218/051/924/84,ActionAid International Kenya,International NGO,21,aaik-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aaik-org.xml
GB-COH-04644326,Agulhas Applied Knowledge,Private Sector,70,aak-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aak-org.xml
NL-KVK-41217595,"Stichting ActionAid
The Netherlands
",International NGO,21,aanl-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aanl-org.xml
RW-RGB-61-RGB-NGO-2017,ActionAid Rwanda,National NGO,22,aar-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aar-org.xml
GB-CHC-274467,ActionAid UK,International NGO,21,aauk-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aauk-org.xml
GB-CHC-1157009,Abaseen Foundation UK,International NGO,21,abaseen-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/abaseen-org.xml
GB-CHC-326859,Able Child Africa,International NGO,21,ablechildafrica-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ablechildafrica-org.xml
GB-COH-10633588,Abt Britain Ltd,Private Sector in Provider Country,71,abtbritain-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/abtbritain-org.xml
NL-KVK-09108013,Advance Consulting,Private Sector,70,ac1999-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ac1999-org.xml
GB-CHC-1096908,Afghanistan and Central Asian Association,International NGO,21,acaa-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/acaa-org.xml
XI-IATI-ACATBA,Association Centrafricaine de Traduction de la Bible et Alphabetisation,National NGO,22,acatba-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/acatba-org.xml
US-EIN-11-3803281,African Center for Economic Transformation,"Academic, Training and Research",80,acet-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/acet-org.xml
FR-RCS-31899089200065,Action Contre la Faim France,International NGO,21,acf-fr-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/acf-fr-org.xml
GB-CHC-1047501,Action Against Hunger,International NGO,21,acf-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/acf-org.xml
CA-CRA_ACR-10784-8319-RR0001,Action Canada for Sexual Health and Rights,International NGO,21,acfshr-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/acfshr-org.xml
UG-RSB-73316,African Center for Global Health and Social Transformation,International NGO,21,achest-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/achest-org.xml
BE-BCE_KBO-0462279234,ACODEV,National NGO,22,acodev-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/acodev-org.xml
GB-CHC-283302,Agency for Cooperation and Research in Development,International NGO,21,acord-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/acord-org.xml
KE-NGC-9381,Across,International NGO,21,across-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/across-org.xml
GB-COH-04276635,Act4Africa,National NGO,22,act4africa-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/act4africa-org.xml
BE-BCE_KBO-0424198222,"Association for Cultural, Technical & Educational Cooperation",National NGO,22,actec-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/actec-org.xml
FR-SIRET-4028868160030,ACTED,International NGO,21,acted-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/acted-org.xml
NL-KVK-53815211,"Amsterdam Centre for World Food Studies, VU University","Academic, Training and Research",80,acwfs_vu-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/acwfs_vu-org.xml
BE-BCE_KBO-0408095925,Auto-Développement Afrique,National NGO,22,ada-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ada-org.xml
GB-COH-294860,ADD International,International NGO,21,addinternational-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/addinternational-org.xml
BJ-IFU-6200901944008,Commune de Adja-ouèrè Benin,Other Public Sector,15,adja-ouere-org,https://rsr.akvo.org/organisation/4142/iati-org/
BJ-IFU-5200801335602,Commune de Adjohoun Benin,Government,10,adjohoun-org,https://rsr.akvo.org/organisation/4644/iati-org/
DK-CVR-20074035,ADRA Danmark,National NGO,22,adra-dk-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/adra-dk-org.xml
XI-IATI-NP-IRD-302113730,"Adventist Development and Relief Agency, Nepal",International NGO,21,adra_nepal-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/adra_nepal-org.xml
GB-CHC-1074937,ADRA-UK,International NGO,21,adrauk-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/adrauk-org.xml
NL-KVK-33226495,Atradius Dutch State Business,Private Sector,70,adsb-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/adsb-org.xml
ES-DIR3-EA0035768,AECID Spanish Agency for International Development Cooperation,Government,10,aecid-org,http://www.aecid.es/Centro-Documentacion/Documentos/Eficacia%20y%20calidad/IATI/aecid-organisation.xml
US-EIN-522044704,Aeras,International NGO,21,aeras-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aeras-org.xml
GB-CHC-313139,Africa Educational Trust,International NGO,21,aet-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aet-org.xml
XI-IATI-FR-3,Agence Francaise de Developpement,Other Public Sector,15,afd-org,https://static.data.gouv.fr/resources/gouvernance-politiques-et-strategies-de-lafd/20210325-172211/afd-organisation-file-2021-03-25.xml
46002,African Development Bank Group,Multilateral,40,afdb-org,https://www.afdb.org/sites/default/files/iati/iatiorganisationdata.xml
FR-SIRET-31827645800037,Agriculteurs français et développement international,International NGO,21,afdi-fr-org,http://rsr.akvo.org/organisation/5280/iati-org/
KE-KRA-P051713416W,Association for Faculty Enrichment in Learning and Teaching,"Academic, Training and Research",80,afelt-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/afelt-org.xml
KE-KRA-P051335339D,African institute for development polciy,International NGO,21,afidep-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/afidep-org.xml
BE-BCE_KBO-0474198059,AFRICALIA,Other Public Sector,15,africalia-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/africalia-org.xml
GB-CHC-1141028,AfriKids,International NGO,21,afrikids-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/afrikids-org.xml
GB-CHC-1128267-8,Age International UK (HelpAge International UK),National NGO,22,ageintl-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ageintl-org.xml
US-EIN-98-0513530,Alliance for a Green Revolution in Africa,International NGO,21,agra-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/agra-org.xml
XI-IATI-AGR,AgResults,Multilateral,40,agresults-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/agresults-org.xml
